report_period_end,report_period_label,ticker,cik,form,accession,acceptance_timestamp_utc,event_type,verification_status,evidence_source,verification_evidence,days_after_period_end
2024-06-30,2024Q2,OTF,1747777,10-Q,0001747777-24-000013,2024-08-09T20:08:58.000Z,10-Q,verified,https://www.sec.gov/Archives/edgar/data/1747777/000174777724000013/ortfc-20240630.htm,10-Q reportDate exactly equals 2024-06-30,40
2024-09-30,2024Q3,GLAD,1143513,8-K,0001193125-24-257247,2024-11-13T21:25:32.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1143513/000119312524257247/d833548dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-09-30 found in exhibit,44
2024-09-30,2024Q3,BBDC,1379785,8-K,0001379785-24-000064,2024-11-06T21:15:35.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1379785/000137978524000064/exhibit99120241106earnings.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-09-30 found in exhibit,37
2024-09-30,2024Q3,CICB,1534254,8-K,0001104659-24-115087,2024-11-07T13:30:37.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1534254/000110465924115087/tm2427532d1_ex99-1.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-09-30 found in exhibit,38
2024-09-30,2024Q3,MSIF,1535778,,,,,excluded_not_verified_listed_equity,,Target equity listing was not verified.,
2024-09-30,2024Q3,SCM,1551901,10-Q,0001558370-24-014910,2024-11-07T22:29:54.000Z,10-Q,verified,https://www.sec.gov/Archives/edgar/data/1551901/000155837024014910/scm-20240930x10q.htm,10-Q reportDate exactly equals 2024-09-30,38
2024-09-30,2024Q3,OBDC,1655888,8-K,0001193125-24-252064,2024-11-06T21:24:49.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1655888/000119312524252064/d854376dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-09-30 found in exhibit,37
2024-09-30,2024Q3,OTF,1747777,8-K,0001193125-24-257192,2024-11-13T21:04:01.000Z,8-K_EX-99_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1747777/000119312524257192/d860936dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-09-30 found in exhibit,44
2024-09-30,2024Q3,MSDL,1782524,8-K,0001193125-24-253290,2024-11-07T22:09:01.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1782524/000119312524253290/d862399dex991.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-09-30 found in exhibit,38
2024-09-30,2024Q3,PGIM,1923622,,,,,excluded_not_verified_listed_equity,,Target equity listing was not verified.,
2024-12-31,2024Q4,GAIN,1321741,8-K,0001321741-25-000006,2025-02-12T21:18:54.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1321741/000132174125000006/gain123124er8-kex991x21225.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-12-31 found in exhibit,43
2024-12-31,2024Q4,OFS,1487918,8-K,0001487918-25-000007,2025-03-03T21:33:11.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1487918/000148791825000007/ofsccq424resultspr3325.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-12-31 found in exhibit,62
2024-12-31,2024Q4,CICB,1534254,8-K,0001104659-25-023248,2025-03-13T12:30:50.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1534254/000110465925023248/tm258752d1_ex99-1.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-12-31 found in exhibit,72
2024-12-31,2024Q4,MSIF,1535778,,,,,excluded_not_verified_listed_equity,,Target equity listing was not verified.,
2024-12-31,2024Q4,WHF,1552198,8-K,0001558370-25-002454,2025-03-07T12:30:23.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1552198/000155837025002454/whf-20250307xex99d1.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-12-31 found in exhibit,66
2024-12-31,2024Q4,OTF,1747777,8-K,0001628280-25-014413,2025-03-24T12:30:17.000Z,8-K_EX-99_NAV,verified,https://www.sec.gov/Archives/edgar/data/1747777/000162828025014413/exhibit991-otf8xk.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-12-31 found in exhibit,83
2024-12-31,2024Q4,MSDL,1782524,8-K,0001104659-25-018239,2025-02-27T21:18:13.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1782524/000110465925018239/tm257747d1_ex99-1.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-12-31 found in exhibit,58
2024-12-31,2024Q4,LIEN,1843162,8-K,0000950103-25-004068,2025-03-31T11:00:57.000Z,8-K_ITEM_2.02_RESULTS,verified,https://www.sec.gov/Archives/edgar/data/1843162/000095010325004068/dp226957_ex9901.htm,verified EX-99 results/NAV metrics; exact period-end date 2024-12-31 found in exhibit,90
2024-12-31,2024Q4,PGIM,1923622,,,,,excluded_not_verified_listed_equity,,Target equity listing was not verified.,
