review_observation_id,source_event_cluster_id,borrower_norm,report_period_label,source_ticker,target_ticker,reporting_window_days,target_prior_mark,source_prior_mark,source_current_mark,target_current_mark,target_current_same_facility,target_current_aggregation_valid,position_status
D5EV_81b0639ef3a5df20b12adab1,D5EC_602c8530d231f9fba9925f00,triplepoint acquisition,2024Q3,WHF,SCM,0.624236,0.9802491967,0.9802827381,0.9901174716,0.9799999963,yes,yes,continuing
D5EV_31024582486f6782c726e217,D5EC_7beb88050506f6633916e47d,xplor t1,2024Q3,ASIF,OTF,5.200706,0.995,0.9975022381,1.0037511191,1.005,yes,yes,continuing
D5EV_f1023e56f9a8a7322097c229,D5EC_9c901a90cb41a1d677b6d1af,allen media,2024Q4,OFS,CION,9.189468,0.8699448529,0.6554054054,0.7033324302,,uncertain,uncertain,unmatched_disappearance
D5EV_929a38407e646825ce51d687,D5EC_f1107a6ae848144cdbaa0bb1,asurion,2024Q4,CIK1661306,OTF,10.120336,0.934828764,0.9416053333,0.9796453333,0.9743376719,yes,yes,continuing
D5EV_9cb1d48eb2aed8e4c9da7e25,D5EC_2d572b423f82b275bfd30b07,blackhawk network,2024Q4,OBDC,OFS,12.208461,1.0055,1.0036891984,1.0110954774,,uncertain,uncertain,unmatched_disappearance
D5EV_b49ae18bce39e03f3ab75565,D5EC_cdef9e7b676f0779d305b4e7,finastra usa,2024Q4,CIK1872371,OTF,40.72728,1,0.9700285442,0.9865343728,,no,yes,uncertain
D5EV_2872475ec640faf7eb7b6f3a,D5EC_fb54ac0b4ddad64153990661,forescout technologies,2024Q4,ARCC,OTF,47.62103,0.9957153558,0.9926470588,0.9852941176,,uncertain,uncertain,uncertain
D5EV_44167ecf393fca0a38b730cc,D5EC_482fd8bfe4a7eea7821e6620,inw manufacturing,2024Q4,CSWC,CION,36.850579,0.9487647059,0.8401960784,0.9179104478,,uncertain,uncertain,unmatched_disappearance
D5EV_8d88b8aad171e0558438e1d7,D5EC_c63a45369ececb32ef550d49,isagenix international,2024Q4,CSWC,CION,36.850579,0.9850648643,0.2747688243,0.2098445596,,uncertain,uncertain,unmatched_disappearance
D5EV_0886264549f8d1edc918c351,D5EC_13a13ce210b39f91047226c1,lab logistics,2024Q4,CSWC,WHF,30.850266,1,1,0.9892473118,1,yes,yes,continuing
D5EV_12cdbe603d26ce6ee557c68c,D5EC_d5cf15b8c686ce3e7be12091,lift brands a,2024Q4,CSWC,WHF,30.850266,1,0.9901599016,0.997944924,1,yes,yes,continuing
D5EV_ae9fddd6692c2d1fb78938ed,D5EC_ecb3c214ed5d800666f30c39,lift brands b,2024Q4,CSWC,WHF,30.850266,1,0.939481268,0.9704225352,1,yes,yes,continuing
D5EV_bdd36469d2423b4d784e3b98,D5EC_a1ca6aebbf08f4c8a07f6d2d,m2s intermediate,2024Q4,OCSL,WHF,31.773877,0.9625,0.9625,0.9675391139,0.9675537359,yes,yes,continuing
D5EV_6a95a1a785595ec2522cfccb,D5EC_23dcc5032e759dcd25eebc54,nellson nutraceutical,2024Q4,OBDC,MSDL,8.198067,1,0.9900148217,1,1,yes,yes,continuing
D5EV_f1018b988fe4aa8a8e1b8ed0,D5EC_f7592964d5fbdb763f0e6b51,petvet care centers,2024Q4,ARCC,OTF,47.62103,0.9800030804,0.940060698,0.9299847793,0.9574862319,yes,yes,continuing
D5EV_461b4522db818800b411cf81,D5EC_fbb4527273d8c3233b3a9d6b,pye barker fire and safety,2024Q4,ASIF,OTF,13.843252,0.9589442815,0.9199594732,1,0.9794721408,yes,yes,continuing
D5EV_16089877a8f98d5b837ead2b,D5EC_fce2bb2fb601951ab0abd7cd,pye barker fire and safety,2024Q4,ASIF,OTF,13.843252,0.9949780733,0.9938510654,1,0.9974919957,yes,yes,continuing
D5EV_87a178fe2605a2efcf55fba1,D5EC_4bd5456c38911048cbe47633,triplepoint acquisition,2024Q4,CIK1901037,WHF,0.792627,0.9901174716,0.9800000131,0.995000097,0.9979435408,yes,yes,continuing
D5EV_d41ba6669cd8282839502643,D5EC_64cedc5a52b94ccefb424b21,triplepoint acquisition,2024Q4,SCM,WHF,2.803044,0.9901174716,0.9799999963,0.9949999137,0.9979435408,yes,yes,continuing
D5EV_0b9ed1b3b2fa2a359dc54177,D5EC_e997e27eca29c000298f067d,asurion,2025Q1,CIK1661306,OTF,3.456493,0.9743376719,0.9796453333,0.95,0.9443367488,yes,yes,continuing
D5EV_6a4eed319e9f8fe7f99747fa,D5EC_f91d1d5046f1b999a4a753fd,idera,2025Q1,OFS,MSDL,7.107627,1,1,0.9440924338,1,yes,yes,continuing
D5EV_0c52b634a145a52d3e9d6a2d,D5EC_fc24da716cf2426943bc3444,jp intermediate b,2025Q1,OFS,CION,6.787222,0.7949959044,0.4532125916,0.4105217766,,uncertain,uncertain,unmatched_disappearance
D5EV_31b1d7de3c01a293b4a24e0c,D5EC_31431d4a01059178e2751dae,perkinelmer u s,2025Q1,CIK1869453,MSDL,0.169433,0.9930875576,0.9975082908,0.9924977631,1,yes,yes,continuing
D5EV_b1e33c72796a87433c6f92eb,D5EC_008f98e6b57f1ba835f0d6f2,perkinelmer u s,2025Q1,OCIC,MSDL,0.134711,0.9930875576,0.997500062,0.9924972311,1,yes,yes,continuing
D5EV_52d76106e233964c89f9b289,D5EC_8d23c51ec0de6a3b964f9b3e,petvet care centers,2025Q1,NMFC,OTF,7.214826,0.9574862319,1,0.9836147325,0.9449941305,yes,yes,continuing
D5EV_aebedff93315b84fc959cf91,D5EC_03d91dcc4a10080388206fcb,allen media,2025Q2,OFS,CION,6.789502,0.8925848926,0.7044281445,0.7409425225,,uncertain,uncertain,unmatched_disappearance
D5EV_56eb0926deb6208c9d3be8f5,D5EC_6b4dab625959afc45e6a930f,athenahealth,2025Q2,NMFC,OTF,2.161458,0.9859357061,0.9913396185,1.0001449485,,yes,yes,refinancing_amendment
D5EV_4cc14157b528999eaa6b757e,D5EC_d3e0e97653f9760afcd4535b,connectwise,2025Q2,NMFC,OTF,2.161458,0.9980327869,1.0005039053,1.0063147259,1.0039447732,yes,yes,continuing
D5EV_dc436360ecc599e08c348c0e,D5EC_065bc29e31be5b5c0cd4e675,jp intermediate b,2025Q2,OFS,CION,6.789502,0.7099932981,0.4105217766,0.3615782665,,uncertain,uncertain,unmatched_disappearance
D5EV_01b58c3f356725d63b6e1f86,D5EC_f7868be530205330ab464457,kaseya,2025Q2,NMFC,OTF,2.161458,0.995,0.9949407842,1.0053025937,1.0033941998,yes,yes,continuing
D5EV_22b92172837e5c656ae8a4fc,D5EC_5b1c70198a9cf89b4e4c92d0,logrhythm,2025Q2,NMFC,OTF,2.161458,0.9724210526,0.9835557674,0.9723546235,0.9724210526,yes,yes,continuing
D5EV_b851a769bc41a0c684807a5d,D5EC_bfbedd0a01f4a64e85fa30b8,m2s intermediate,2025Q2,OCSL,WHF,2.735613,0.9672466735,0.963371838,0.9706498952,0.9681341719,yes,yes,continuing
D5EV_0a4ad52bbd0c50e6cfb05514,D5EC_c329836f58a0d68dc3e1aca0,petvet care centers,2025Q2,ARCC,OTF,8.971181,0.9449941305,0.9298245614,0.8998470948,0.9449969608,yes,yes,continuing
D5EV_afb2092fc81ff6e4bc35d01a,D5EC_b29928f64e1072a69d247d21,petvet care centers,2025Q2,NMFC,OTF,2.161458,0.9449941305,0.9836147325,0.9755026247,0.9449969608,yes,yes,continuing
D5EV_9d95c851974603588ee9e63d,D5EC_5aab67edbb59c4864075f5ca,storable,2025Q2,NMFC,OTF,2.161458,0.9934495616,0.995410438,1.0005184033,0.9980368328,yes,yes,continuing
D5EV_ee0d1f55a8626ec9e07a6819,D5EC_0d55e9d3a6a3517b978ce949,m2s intermediate,2026Q1,OCSL,WHF,2.71544,0.9901793339,0.995204541,0.9792924935,0.9899067471,yes,yes,continuing
D5EV_4bcc43807ee299de5de2ca0a,D5EC_bdf50a40b8d90ef96b681429,real chemistry intermediate iii,2026Q1,NCDL,BBDC,0.961968,,0.0039325843,-0.0061797753,,yes,yes,continuing
D5EV_f438ca82f7a27e794a1837a9,D5EC_03ea18827a74bda0ec1f74a2,swoop intermediate iii,2026Q1,NCDL,BBDC,0.961968,,0.0045045045,0.0101351351,,yes,yes,continuing
