observation_id,report_period_end,report_period_label,borrower_norm,source_ticker,source_cik,source_listed_status,target_ticker,target_cik,source_facility_id,source_prior_facility_id,target_prior_facility_id,source_results_timestamp_utc,source_mark_public_timestamp_utc,source_information_timestamp_utc,source_mark_public_evidence,target_prior_public_timestamp_utc,target_cutoff_timestamp_utc,reporting_window_days,source_current_mark,source_prior_mark,source_delta_mark,source_delta_pp,movement_eligible,development_borrower_excluded,target_current_outcome_used_for_eligibility,outcomes_revealed,unit_of_analysis
SN3X_6a08e2377d127fa11e97be734ff8,2024-06-30,2024Q2,bracket intermediate,NMFC,1496099,listed,OBDC,1655888,EF_12fad1d1d08bea12fdefba91c63b,EF_d8cd46dfdcb05cc559af0644f981,EF_056eb52190c3bfeb535e45fd0e0d,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,6.967755,1.0053899639,1.0047846890,0.0006052749,0.060527,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_6a5160225c5615cb0aa0dba52d58,2024-09-30,2024Q3,baker tilly advisory,NMFC,1496099,listed,OBDC,1655888,EF_101b0d1005e24d2e78f27e38a16d,EF_1ee56b4119fc52b893d990103c73,EF_6ea6f3d8d29eb0bc636639c837f6,2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,7.036331,0.9924932585,0.9926263778,-0.0001331193,-0.013312,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_6b81b18e7ae24efcab40bea613ca,2025-09-30,2025Q3,coupa,NMFC,1496099,listed,OBDC,1655888,EF_bd9252833015fd685da66e467f6d,EF_c46468d3c15bb39b635f2608e79e,EF_9b372822e7ab007ac2482fa782d4,2025-11-03T21:39:20Z,2025-11-03T16:44:00Z,2025-11-03T21:39:20Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-08-06T20:05:51Z,2025-11-05T21:36:07Z,1.997766,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_6d5821f171c1e258e3ac4626855c,2024-06-30,2024Q2,bamboo us bidco,ARCC,1287750,listed,OBDC,1655888,EF_b39371445c43d0cc326b9566a951,EF_6116c4b81f9a3f03ad18fb379c44,EF_31bb16dc3e2d8ad4ad0f18e1311e,2024-07-29T20:56:19Z,2024-07-29T21:10:00Z,2024-07-29T21:10:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,8.962859,1.0000000000,0.9899665552,0.0100334448,1.003344,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_6e8e52ae278b5414a0afa9328394,2024-06-30,2024Q2,confluent medical technologies,NMFC,1496099,listed,OBDC,1655888,EF_dda18b434aba44e531dc7d4c0577,EF_ec589d32961c66e34e5a29829241,EF_b3633bfd883d0cdc2c1949fc9ff7,2024-07-31T21:02:57Z,2024-07-31T17:12:00Z,2024-07-31T21:02:57Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-05-08T20:11:16Z,2024-08-07T20:16:31Z,6.967755,1.0000000000,0.9999273044,0.0000726956,0.007270,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_70939926afa879c5e6fbc11a257b,2024-09-30,2024Q3,investments,TSLX,1508655,listed,GSBD,1572694,EF_c347b8635c436048bc2e373fde58,EF_664c236386abc1e4549da550a0a0,EF_7cd7f50019386016f53c7b6da1e8,2024-11-05T21:01:59Z,2024-11-05T16:02:00Z,2024-11-05T21:01:59Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-08-08T20:53:57Z,2024-11-07T21:29:24Z,2.019039,,,,,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_73134a68969a68778606b836512a,2024-09-30,2024Q3,mavis tire express services topco,NMFC,1496099,listed,OBDC,1655888,EF_b498c81e99714a3577dc672abb93,EF_7deb138aaef6fcf2fbb8fd7c134e,EF_8bfdb1f412f1d04d5bb7ead85490,2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,7.036331,1.0006503536,1.0035676640,-0.0029173104,-0.291731,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_74a4dcc0b45a48090ccf14723883,2024-09-30,2024Q3,realpage,ARCC,1287750,listed,OBDC,1655888,EF_2882235d693a19862fd08e1a9b51,EF_1f05e944da5e9e9503b61e4bf0a7,EF_172daaa4288de064580d74474bbc,2024-10-29T20:49:55Z,2024-10-29T20:56:00Z,2024-10-29T20:56:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,8.007581,0.9571938169,0.9845422117,-0.0273483948,-2.734839,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_74bad10d45f04d5a45e6124ba37e,2024-03-31,2024Q1,next holdco,ARCC,1287750,listed,NMFC,1496099,EF_f191ed4432a585b30f088f89b896,EF_f93f4f45ef77fed3fd131898414b,EF_5cf8fde99ce9d1c2a461536ebde8,2024-04-30T21:30:34Z,2024-04-30T21:41:00Z,2024-04-30T21:41:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-02-26T16:48:00Z,2024-05-01T21:02:05Z,0.972975,0.9846153846,0.9846153846,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_766ad016b5ef68039b4378649cd2,2024-09-30,2024Q3,bw,NMFC,1496099,listed,OBDC,1655888,EF_43e25387833c0bdeccb37e6b7bab,EF_e8f4e97ce4957fd1e05d4da05473,EF_4a93b9313aaac868fc9e74c8cdfe,2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,7.036331,0.9244611843,0.9094134836,0.0150477007,1.504770,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
