ticker,cik,quarter,period_end,first_results_timestamp_utc,first_results_timestamp_et,market_session,event_type,accession,source_url,verification_status,exclusion_reason
TSLX,1508655,2025Q3,2025-09-30,2025-11-04T21:02:36.000Z,2025-11-04T16:02:36-05:00,after-market,10-Q,0001193125-25-264618,https://www.sec.gov/Archives/edgar/data/1508655/000119312525264618/tslx-20250930.htm,verified_filing_fallback,
FSK,1422183,2025Q3,2025-09-30,2025-11-05T21:22:01.000Z,2025-11-05T16:22:01-05:00,after-market,8-K_EX-99_RESULTS,0001104659-25-107029,https://www.sec.gov/Archives/edgar/data/1422183/000110465925107029/tm2530215d1_ex99-1.htm,verified_exhibit_content,0001104659-25-097997: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
OBDC,1655888,2025Q3,2025-09-30,2025-11-05T21:36:07.000Z,2025-11-05T16:36:07-05:00,after-market,10-Q,0001655888-25-000024,https://www.sec.gov/Archives/edgar/data/1655888/000165588825000024/obdc-20250930.htm,verified_filing_fallback,0001193125-25-225925: scheduling announcement; future results date only
OCIC,1812554,2025Q3,2025-09-30,2025-11-06T21:04:34.000Z,2025-11-06T16:04:34-05:00,after-market,10-Q,0001812554-25-000081,https://www.sec.gov/Archives/edgar/data/1812554/000181255425000081/orcic-20250930.htm,verified_filing_fallback,
MFIC,1278752,2025Q3,2025-09-30,2025-11-06T21:12:39.000Z,2025-11-06T16:12:39-05:00,after-market,10-Q,0001193125-25-269512,https://www.sec.gov/Archives/edgar/data/1278752/000119312525269512/mfic-20250930.htm,verified_filing_fallback,
PSEC,1287032,2025Q3,2025-09-30,2025-11-06T21:18:21.000Z,2025-11-06T16:18:21-05:00,after-market,10-Q,0001287032-25-000339,https://www.sec.gov/Archives/edgar/data/1287032/000128703225000339/psec-20250930.htm,verified_filing_fallback,
BBDC,1379785,2025Q3,2025-09-30,2025-11-06T21:18:29.000Z,2025-11-06T16:18:29-05:00,after-market,8-K_EX-99_RESULTS,0001379785-25-000051,https://www.sec.gov/Archives/edgar/data/1379785/000137978525000051/exhibit99120251106earnings.htm,verified_exhibit_content,
GSBD,1572694,2025Q3,2025-09-30,2025-11-06T21:47:26.000Z,2025-11-06T16:47:26-05:00,after-market,10-Q,0001193125-25-269840,https://www.sec.gov/Archives/edgar/data/1572694/000119312525269840/gsbd-20250930.htm,verified_filing_fallback,
BXSL,1736035,2025Q3,2025-09-30,2025-11-10T11:10:01.000Z,2025-11-10T06:10:01-05:00,pre-market,10-Q,0001736035-25-000021,https://www.sec.gov/Archives/edgar/data/1736035/000173603525000021/bxsl-20250930.htm,verified_filing_fallback,
BCRED,1803498,2025Q3,2025-09-30,2025-11-13T21:37:02.000Z,2025-11-13T16:37:02-05:00,after-market,10-Q,0001803498-25-000081,https://www.sec.gov/Archives/edgar/data/1803498/000180349825000081/bcred-20250930.htm,verified_filing_fallback,
HPS,1838126,2025Q3,2025-09-30,2025-11-14T18:58:29.000Z,2025-11-14T13:58:29-05:00,market-hours,10-Q,0001838126-25-000073,https://www.sec.gov/Archives/edgar/data/1838126/000183812625000073/hps-20250930.htm,verified_filing_fallback,
ASIF,1918712,2025Q3,2025-09-30,2025-11-14T21:21:34.000Z,2025-11-14T16:21:34-05:00,after-market,10-Q,0001918712-25-000092,https://www.sec.gov/Archives/edgar/data/1918712/000191871225000092/asif-20250930.htm,verified_filing_fallback,
OCSL,1414932,2025Q3,2025-09-30,2025-11-17T23:00:27.000Z,2025-11-17T18:00:27-05:00,after-market,10-K,0001414932-25-000022,https://www.sec.gov/Archives/edgar/data/1414932/000141493225000022/ocsl-20250930.htm,verified_filing_fallback,
GBDC,1476765,2025Q3,2025-09-30,2025-11-18T21:04:03.000Z,2025-11-18T16:04:03-05:00,after-market,8-K_EX-99_RESULTS,0001476765-25-000094,https://www.sec.gov/Archives/edgar/data/1476765/000147676525000094/gbdcfy202510-kearningsprxex.htm,verified_exhibit_content,0001476765-25-000080: scheduling announcement; future results date only
MAIN,1396440,2025Q4,2025-12-31,2026-01-15T15:34:23.000Z,2026-01-15T10:34:23-05:00,market-hours,8-K_EX-99_RESULTS,0001396440-26-000005,https://www.sec.gov/Archives/edgar/data/1396440/000139644026000005/main-q42025xprexerxexx991.htm,verified_exhibit_content,0001396440-26-000003: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
OCSL,1414932,2025Q4,2025-12-31,2026-02-03T23:50:51.000Z,2026-02-03T18:50:51-05:00,after-market,10-Q,0001414932-26-000005,https://www.sec.gov/Archives/edgar/data/1414932/000141493226000005/ocsl-20251231.htm,verified_filing_fallback,
ARCC,1287750,2025Q4,2025-12-31,2026-02-04T06:04:52.000Z,2026-02-04T01:04:52-05:00,pre-market,8-K_EX-99_RESULTS,0001287750-26-000004,https://www.sec.gov/Archives/edgar/data/1287750/000128775026000004/arccq4-2025exhibit991.htm,verified_exhibit_content,
GBDC,1476765,2025Q4,2025-12-31,2026-02-04T21:01:08.000Z,2026-02-04T16:01:08-05:00,after-market,8-K_EX-99_RESULTS,0001476765-26-000010,https://www.sec.gov/Archives/edgar/data/1476765/000147676526000010/gbdcfy2026q1earningsprxex.htm,verified_exhibit_content,0001476765-26-000003: scheduling announcement; future results date only
PSEC,1287032,2025Q4,2025-12-31,2026-02-09T21:06:34.000Z,2026-02-09T16:06:34-05:00,after-market,10-Q,0001287032-26-000045,https://www.sec.gov/Archives/edgar/data/1287032/000128703226000045/psec-20251231.htm,verified_filing_fallback,
TSLX,1508655,2025Q4,2025-12-31,2026-02-12T21:02:45.000Z,2026-02-12T16:02:45-05:00,after-market,10-K,0001193125-26-048664,https://www.sec.gov/Archives/edgar/data/1508655/000119312526048664/tslx-20251231.htm,verified_filing_fallback,
HTGC,1280784,2025Q4,2025-12-31,2026-02-12T21:17:15.000Z,2026-02-12T16:17:15-05:00,after-market,10-K,0001280784-26-000009,https://www.sec.gov/Archives/edgar/data/1280784/000128078426000009/htgc-20251231.htm,verified_filing_fallback,0001193125-26-034539: Item 2.02 filing has no EX-99 results/NAV exhibit
OBDC,1655888,2025Q4,2025-12-31,2026-02-18T21:10:08.000Z,2026-02-18T16:10:08-05:00,after-market,8-K_EX-99_RESULTS,0001655888-26-000009,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000009/exhibit991-obdcxpressrelea.htm,verified_exhibit_content,0001193125-26-005489: scheduling announcement; future results date only
BBDC,1379785,2025Q4,2025-12-31,2026-02-19T21:15:15.000Z,2026-02-19T16:15:15-05:00,after-market,8-K_EX-99_RESULTS,0001379785-26-000008,https://www.sec.gov/Archives/edgar/data/1379785/000137978526000008/exhibit99120260219earnings.htm,verified_exhibit_content,
CGBD,1544206,2025Q4,2025-12-31,2026-02-24T21:00:55.000Z,2026-02-24T16:00:55-05:00,after-market,8-K_EX-99_RESULTS,0001544206-26-000012,https://www.sec.gov/Archives/edgar/data/1544206/000154420626000012/cgbd_20251231xxex991earnin.htm,verified_exhibit_content,
NMFC,1496099,2025Q4,2025-12-31,2026-02-24T21:28:40.000Z,2026-02-24T16:28:40-05:00,after-market,8-K_EX-99_RESULTS,0001496099-26-000007,https://www.sec.gov/Archives/edgar/data/1496099/000149609926000007/nmfcearningspressreleaseq4.htm,verified_exhibit_content,
BXSL,1736035,2025Q4,2025-12-31,2026-02-25T11:07:25.000Z,2026-02-25T06:07:25-05:00,pre-market,10-K,0001736035-26-000004,https://www.sec.gov/Archives/edgar/data/1736035/000173603526000004/bxsl-20251231.htm,verified_filing_fallback,
FSK,1422183,2025Q4,2025-12-31,2026-02-25T21:32:09.000Z,2026-02-25T16:32:09-05:00,after-market,8-K_EX-99_RESULTS,0001104659-26-019719,https://www.sec.gov/Archives/edgar/data/1422183/000110465926019719/tm267104d1_ex99-1.htm,verified_exhibit_content,0001104659-26-005404: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
MFIC,1278752,2025Q4,2025-12-31,2026-02-26T21:03:32.000Z,2026-02-26T16:03:32-05:00,after-market,10-K,0001193125-26-076499,https://www.sec.gov/Archives/edgar/data/1278752/000119312526076499/mfic-20251231.htm,verified_filing_fallback,
GSBD,1572694,2025Q4,2025-12-31,2026-02-26T22:30:05.000Z,2026-02-26T17:30:05-05:00,after-market,10-K,0001193125-26-077458,https://www.sec.gov/Archives/edgar/data/1572694/000119312526077458/gsbd-20251231.htm,verified_filing_fallback,
OCIC,1812554,2025Q4,2025-12-31,2026-03-03T21:05:50.000Z,2026-03-03T16:05:50-05:00,after-market,10-K,0001812554-26-000011,https://www.sec.gov/Archives/edgar/data/1812554/000181255426000011/orcic-20251231.htm,verified_filing_fallback,
ASIF,1918712,2025Q4,2025-12-31,2026-03-09T20:57:50.000Z,2026-03-09T16:57:50-04:00,after-market,10-K,0001918712-26-000018,https://www.sec.gov/Archives/edgar/data/1918712/000191871226000018/asif-20251231.htm,verified_filing_fallback,
BCRED,1803498,2025Q4,2025-12-31,2026-03-13T20:23:09.000Z,2026-03-13T16:23:09-04:00,after-market,10-K,0001803498-26-000014,https://www.sec.gov/Archives/edgar/data/1803498/000180349826000014/bcred-20251231.htm,verified_filing_fallback,
HPS,1838126,2025Q4,2025-12-31,2026-03-20T20:38:57.000Z,2026-03-20T16:38:57-04:00,after-market,10-K,0001628280-26-020206,https://www.sec.gov/Archives/edgar/data/1838126/000162828026020206/hps-20251231.htm,verified_filing_fallback,
MAIN,1396440,2026Q1,2026-03-31,2026-04-16T13:33:38.000Z,2026-04-16T09:33:38-04:00,market-hours,8-K_EX-99_RESULTS,0001396440-26-000058,https://www.sec.gov/Archives/edgar/data/1396440/000139644026000058/main-q12026xprexerxexx991.htm,verified_exhibit_content,0001396440-26-000051: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
ARCC,1287750,2026Q1,2026-03-31,2026-04-27T20:37:26.000Z,2026-04-27T16:37:26-04:00,after-market,8-K_EX-99_RESULTS,0001628280-26-027685,https://www.sec.gov/Archives/edgar/data/1287750/000162828026027685/arccq1-2026exhibit991.htm,verified_exhibit_content,
GBDC,1476765,2026Q1,2026-03-31,2026-05-04T20:05:05.000Z,2026-05-04T16:05:05-04:00,after-market,8-K_EX-99_RESULTS,0001476765-26-000029,https://www.sec.gov/Archives/edgar/data/1476765/000147676526000029/gbdcfy2026q2earningsprxex.htm,verified_exhibit_content,0001476765-26-000016: scheduling announcement; future results date only
NMFC,1496099,2026Q1,2026-03-31,2026-05-04T20:23:00.000Z,2026-05-04T16:23:00-04:00,after-market,8-K_EX-99_RESULTS,0001496099-26-000014,https://www.sec.gov/Archives/edgar/data/1496099/000149609926000014/nmfcearningspressreleaseq1.htm,verified_exhibit_content,
OCSL,1414932,2026Q1,2026-03-31,2026-05-04T22:21:00.000Z,2026-05-04T18:21:00-04:00,after-market,10-Q,0001414932-26-000012,https://www.sec.gov/Archives/edgar/data/1414932/000141493226000012/ocsl-20260331.htm,verified_filing_fallback,
TSLX,1508655,2026Q1,2026-03-31,2026-05-05T20:02:33.000Z,2026-05-05T16:02:33-04:00,after-market,10-Q,0001193125-26-206313,https://www.sec.gov/Archives/edgar/data/1508655/000119312526206313/tslx-20260331.htm,verified_filing_fallback,
HTGC,1280784,2026Q1,2026-03-31,2026-05-05T20:17:04.000Z,2026-05-05T16:17:04-04:00,after-market,10-Q,0001280784-26-000027,https://www.sec.gov/Archives/edgar/data/1280784/000128078426000027/htgc-20260331.htm,verified_filing_fallback,
MFIC,1278752,2026Q1,2026-03-31,2026-05-06T20:09:03.000Z,2026-05-06T16:09:03-04:00,after-market,10-Q,0001193125-26-208941,https://www.sec.gov/Archives/edgar/data/1278752/000119312526208941/mfic-20260331.htm,verified_filing_fallback,
OBDC,1655888,2026Q1,2026-03-31,2026-05-06T20:09:19.000Z,2026-05-06T16:09:19-04:00,after-market,10-Q,0001655888-26-000033,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000033/obdc-20260331.htm,verified_filing_fallback,0001193125-26-137925: scheduling announcement; future results date only
BXSL,1736035,2026Q1,2026-03-31,2026-05-07T10:13:37.000Z,2026-05-07T06:13:37-04:00,pre-market,10-Q,0001736035-26-000010,https://www.sec.gov/Archives/edgar/data/1736035/000173603526000010/bxsl-20260331.htm,verified_filing_fallback,
BBDC,1379785,2026Q1,2026-03-31,2026-05-07T20:17:14.000Z,2026-05-07T16:17:14-04:00,after-market,8-K_EX-99_RESULTS,0001379785-26-000021,https://www.sec.gov/Archives/edgar/data/1379785/000137978526000021/exhibit99120260507earnings.htm,verified_exhibit_content,
PSEC,1287032,2026Q1,2026-03-31,2026-05-07T20:45:13.000Z,2026-05-07T16:45:13-04:00,after-market,10-Q,0001287032-26-000164,https://www.sec.gov/Archives/edgar/data/1287032/000128703226000164/psec-20260331.htm,verified_filing_fallback,
GSBD,1572694,2026Q1,2026-03-31,2026-05-07T21:19:04.000Z,2026-05-07T17:19:04-04:00,after-market,10-Q,0001193125-26-212431,https://www.sec.gov/Archives/edgar/data/1572694/000119312526212431/gsbd-20260331.htm,verified_filing_fallback,
CGBD,1544206,2026Q1,2026-03-31,2026-05-11T10:01:15.000Z,2026-05-11T06:01:15-04:00,pre-market,8-K_EX-99_RESULTS,0001544206-26-000032,https://www.sec.gov/Archives/edgar/data/1544206/000154420626000032/cgbd_2026331xxex991earning.htm,verified_exhibit_content,
FSK,1422183,2026Q1,2026-03-31,2026-05-11T10:59:03.000Z,2026-05-11T06:59:03-04:00,pre-market,8-K_EX-99_RESULTS,0001104659-26-058250,https://www.sec.gov/Archives/edgar/data/1422183/000110465926058250/tm2614112d1_ex99-1.htm,verified_exhibit_content,0001104659-26-041534: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
HPS,1838126,2026Q1,2026-03-31,2026-05-11T16:57:40.000Z,2026-05-11T12:57:40-04:00,market-hours,10-Q,0001628280-26-033248,https://www.sec.gov/Archives/edgar/data/1838126/000162828026033248/hps-20260331.htm,verified_filing_fallback,
OCIC,1812554,2026Q1,2026-03-31,2026-05-11T21:04:26.000Z,2026-05-11T17:04:26-04:00,after-market,10-Q,0001812554-26-000027,https://www.sec.gov/Archives/edgar/data/1812554/000181255426000027/orcic-20260331.htm,verified_filing_fallback,
ASIF,1918712,2026Q1,2026-03-31,2026-05-12T20:24:49.000Z,2026-05-12T16:24:49-04:00,after-market,10-Q,0001628280-26-034133,https://www.sec.gov/Archives/edgar/data/1918712/000162828026034133/asif-20260331.htm,verified_filing_fallback,
BCRED,1803498,2026Q1,2026-03-31,2026-05-14T20:14:02.000Z,2026-05-14T16:14:02-04:00,after-market,10-Q,0001803498-26-000031,https://www.sec.gov/Archives/edgar/data/1803498/000180349826000031/bcred-20260331.htm,verified_filing_fallback,
MAIN,1396440,2026Q2,2026-06-30,2026-07-16T13:15:53.000Z,2026-07-16T09:15:53-04:00,pre-market,8-K_EX-99_RESULTS,0001396440-26-000086,https://www.sec.gov/Archives/edgar/data/1396440/000139644026000086/main-q22026xprexerxexx991.htm,verified_exhibit_content,0001396440-26-000084: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
ARCC,1287750,2026Q2,2026-06-30,2026-07-28T20:33:42.000Z,2026-07-28T16:33:42-04:00,after-market,8-K_EX-99_RESULTS,0001628280-26-050303,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050303/arccq2-2026exhibit991.htm,verified_exhibit_content,
HTGC,1280784,2026Q2,2026-06-30,2026-07-30T20:17:08.000Z,2026-07-30T16:17:08-04:00,after-market,10-Q,0001280784-26-000042,https://www.sec.gov/Archives/edgar/data/1280784/000128078426000042/htgc-20260630.htm,verified_filing_fallback,0001280784-26-000032: Item 2.02 filing has no EX-99 results/NAV exhibit
