review_observation_id,source_event_cluster_id,period_end,report_period_label,normalized_borrower,source_ticker,target_ticker,source_manager,target_manager,manager_relationship
D4R_a090c63f75ee562bc6f9ef0a,D4C_916829a2249a81a0b8cdecc7,2024-06-30,2024Q2,pluralsight,OCSL,OBDC,Oaktree Capital Management,Blue Owl Credit,cross_manager
D4R_a1156685a562cbc4e55d9dac,D4C_0b4a61e9bc5641cbaf2a0a49,2024-06-30,2024Q2,pluralsight,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
D4R_a9e710e23cea3368c91e9215,D4C_181eac36dc737a830ceeca8e,2024-06-30,2024Q2,next holdco,ARCC,NMFC,Ares Management,New Mountain Capital,cross_manager
D4R_b2efd7a01d55a72bb3cf4893,D4C_dc612bcff91fce1eae770132,2024-09-30,2024Q3,physician partners,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_b3b49c043061744f181cd79b,D4C_64f123b672360c7612788afa,2024-06-30,2024Q2,physician partners,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_bcd7e11422b37f9973fb78ad,D4C_c5a67382e14f05e5e4985e28,2024-06-30,2024Q2,bamboo us bidco,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
D4R_c555b82e85acc84fe8831cda,D4C_c0f70d021fecb6ca1d12e263,2024-09-30,2024Q3,realpage,ARCC,NMFC,Ares Management,New Mountain Capital,cross_manager
D4R_c59e2fbd47dd9290110be570,D4C_4f57e27d18e7bde197fcd808,2024-03-31,2024Q1,valcour packaging,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_c5db0844b0670f466f90470e,D4C_1f87b99a69fce8374e786473,2024-09-30,2024Q3,xplor t1,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_c7a35a9d412cb38465fea24f,D4C_510f33a4eae2b40af398912b,2024-06-30,2024Q2,pluralsight,ARCC,OCSL,Ares Management,Oaktree Capital Management,cross_manager
D4R_d23ddea383be2a00ce5ace83,D4C_fd2626873ba1814fc4688875,2024-03-31,2024Q1,pluralsight,OCSL,ARCC,Oaktree Capital Management,Ares Management,cross_manager
D4R_e38b31b606d83404d95f1d81,D4C_b87134d35399076a925362c5,2024-03-31,2024Q1,athenahealth,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_ed23c600624f149c46a880f7,D4C_55dfd2019040460395679faa,2024-06-30,2024Q2,broadcast music,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
D4R_f9ee8a08a03864c69a263b5c,D4C_fd2626873ba1814fc4688875,2024-03-31,2024Q1,pluralsight,OCSL,OBDC,Oaktree Capital Management,Blue Owl Credit,cross_manager
D4R_fc57517b64adfa4c18b260dd,D4C_94269c6f296bd2c364595c64,2025-06-30,2025Q2,baker tilly advisory,NMFC,OBDC,New Mountain Capital,Blue Owl Credit,cross_manager
D4R_fc6618fb908c370b856b077e,D4C_71631df32270cbca236ef53d,2024-03-31,2024Q1,pluralsight,ARCC,OBDC,Ares Management,Blue Owl Credit,cross_manager
